build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s21e-hydro-aml-nand-v1.3.4,s21e-hydro,Antminer S21e Hydro,Bitmain,x21,AML,nand,s21e-hydro-aml-nand,1.3.4,stable,vnish-s21e-hydro-aml-nand-v1.3.4.tar.gz,21560163,50ccbe2d9c37c2286367c48756c3c81b2a9bf15277134699b46ae6925bedc92b
s21e-hydro-xil-nand-v1.3.4,s21e-hydro,Antminer S21e Hydro,Bitmain,x21,XIL,nand,s21e-hydro-xil-nand,1.3.4,stable,vnish-s21e-hydro-xil-nand-v1.3.4.tar.gz,16184882,0790bbd3b5d57ab22f56ecc000319f87e651ee38e6466ea08c91f647bb6b18fb
s21e-xp-hydro-xil-nand-v1.3.4,s21e-xp-hydro,Antminer S21e XP Hydro,Bitmain,x21,XIL,nand,s21e-xp-hydro-xil-nand,1.3.4,stable,vnish-s21e-xp-hydro-xil-nand-v1.3.4.tar.gz,16180206,0cbcbf781b3dff559fc806a00a2347be37c79afa7b325d0eb9dfda965ff342a9
s21plus-aml-nand-v1.3.4,s21plus,Antminer S21+,Bitmain,x21,AML,nand,s21plus-aml-nand,1.3.4,stable,vnish-s21plus-aml-nand-v1.3.4.tar.gz,21553994,92afc21d30b0ab896fdb47d36f6fddb5377625415f8bcef98464704d01814c4a
s21plus-hydro-cv-nand-v1.3.4,s21plus-hydro,Antminer S21+ Hydro,Bitmain,x21,CV,nand,s21plus-hydro-cv-nand,1.3.4,stable,vnish-s21plus-hydro-cv-nand-v1.3.4.tar.gz,12371136,b39e17689e217959a1dfd8cdda84c06f00dba298a8e3c486bd71640f49eb5ef0
s21plus-hydro-xil-nand-v1.3.4,s21plus-hydro,Antminer S21+ Hydro,Bitmain,x21,XIL,nand,s21plus-hydro-xil-nand,1.3.4,stable,vnish-s21plus-hydro-xil-nand-v1.3.4.tar.gz,16178863,3a06e4854af8e615d626fb8d2611558df37fbb39a762271c5cdd8072e60fe4b4
s21pro-aml-nand-v1.3.4,s21pro,Antminer S21 Pro,Bitmain,x21,AML,nand,s21pro-aml-nand,1.3.4,stable,vnish-s21pro-aml-nand-v1.3.4.tar.gz,21537507,53248a81f7640f38bfc526c9888a5636798c13ed6deac1367a1818230f14170f
s21pro-plus-aml-nand-v1.3.4,s21pro-plus,Antminer S21 Pro+,Bitmain,x21,AML,nand,s21pro-plus-aml-nand,1.3.4,stable,vnish-s21pro-plus-aml-nand-v1.3.4.tar.gz,21539436,3b12f77a8fd4956502cb60202df27904ae5c3b43c9a72f96001a813633529294
s21xp-aml-nand-v1.3.4,s21xp,Antminer S21 XP,Bitmain,x21,AML,nand,s21xp-aml-nand,1.3.4,stable,vnish-s21xp-aml-nand-v1.3.4.tar.gz,21537555,1d8712255bde70c74020ea8b94a4682ce9924d29bec46f846d30efa47628ad31
s21xp-hydro-xil-nand-v1.3.4,s21xp-hydro,Antminer S21 XP Hydro,Bitmain,x21,XIL,nand,s21xp-hydro-xil-nand,1.3.4,stable,vnish-s21xp-hydro-xil-nand-v1.3.4.tar.gz,16171035,2bcf785218433edf6bb72b17036a4a5f15d10a491d8ca71733aa3c1726e032e5
