route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
s19jpro-xil-nand,s19jpro,Antminer S19j Pro,XIL,xil,nand,1.3.6,vnish-s19jpro-xil-nand-v1.3.6.tar.gz,3005840ae9cef5c2b3902d1647ed23fd54fe3fc9ae941d2c22508f7b6e7675db,16194392
s19kpro-aml-nand,s19kpro,Antminer S19k Pro,AML,aml,nand,1.3.6,vnish-s19kpro-aml-nand-v1.3.6.tar.gz,3fd217485bd92cd7cba9f57c90cd04bbb763eaf111f381988aae922f7a0180be,21544721
s19kpro-cv-nand,s19kpro,Antminer S19k Pro,CV,cv,nand,1.3.6,vnish-s19kpro-cv-nand-v1.3.6.tar.gz,4a829f96d264764f6ce466c62b009007c2bb30d663569aff9056bf00c76b21b9,12490682
s19kpro-xil-nand,s19kpro,Antminer S19k Pro,XIL,xil,nand,1.3.6,vnish-s19kpro-xil-nand-v1.3.6.tar.gz,8a3746104029904273c8c4841fcde13718f4026cd18fbee22fb12d987d9561b8,16170891
s19plus-xil-nand,s19plus,Antminer S19+,XIL,xil,nand,1.3.6,vnish-s19plus-xil-nand-v1.3.6.tar.gz,dabca262977086bdf480415bff3630dcc6cfbbb207e5abab2c4cd484b805f549,16192224
s19pro-a-xil-nand,s19pro-a,Antminer S19 Pro-A,XIL,xil,nand,1.3.6,vnish-s19pro-a-xil-nand-v1.3.6.tar.gz,935fcdbdaeaff0f4f4af399d575a3590505f301f40384ac1094141d85ac9defc,16175775
s19pro-hydro-120-xil-nand,s19pro-hydro-120,Antminer S19 Pro Hydro (120),XIL,xil,nand,1.3.6,vnish-s19pro-hydro-120-xil-nand-v1.3.6.tar.gz,b3dffef3a79458dc368d7ff48e561062a595798a7a77e9660f49c958b798fe3c,16172641
s19pro-hydro-xil-nand,s19pro-hydro,Antminer S19 Pro Hydro,XIL,xil,nand,1.3.6,vnish-s19pro-hydro-xil-nand-v1.3.6.tar.gz,6023570fb6b3d2d0805bd842f604ed3f7d6092699c0bb81de99b900214bbed80,16177566
s19pro-plus-hydro-xil-nand,s19pro-plus-hydro,Antminer S19 Pro+ Hydro,XIL,xil,nand,1.3.6,vnish-s19pro-plus-hydro-xil-nand-v1.3.6.tar.gz,79a7a8fb31593172bd2af1efbee8b18ba9d76400cf712992ad93c1be1bc6f035,16169130
s19pro-xil-nand,s19pro,Antminer S19 Pro,XIL,xil,nand,1.3.6,vnish-s19pro-xil-nand-v1.3.6.tar.gz,78f0c0fdb34b580a5889a56f8fd69afce67d734860fc42863ef1d3ff39961f00,16170793
s19xp-aml-nand,s19xp,Antminer S19 XP,AML,aml,nand,1.3.6,vnish-s19xp-aml-nand-v1.3.6.tar.gz,52b1cd1472e0ac37509d881245e9fee0a319d4535729b85bf6f78eda4bdfd229,21563149
s19xp-cv-nand,s19xp,Antminer S19 XP,CV,cv,nand,1.3.6,vnish-s19xp-cv-nand-v1.3.6.tar.gz,95ebaa2072fb084dd5fbaacc29d1e90142c56a22457f8eb5f16838fc9b0a8cfa,12495027
s19xp-hydro-xil-nand,s19xp-hydro,Antminer S19 XP Hydro,XIL,xil,nand,1.3.6,vnish-s19xp-hydro-xil-nand-v1.3.6.tar.gz,31e7f0ff5c260885807f5512c7faa2c6c97a6ff8047598bca1afd2dade423bf3,16173838
s19xp-plus-aml-nand,s19xp-plus,Antminer S19 XP+,AML,aml,nand,1.3.6,vnish-s19xp-plus-aml-nand-v1.3.6.tar.gz,4ed36201908ec425f58d664dd8ed3cd464f4ef18a935e65e08401dbaec004c67,21567205
s19xp-plus-hydro-xil-nand,s19xp-plus-hydro,Antminer S19 XP+ Hydro,XIL,xil,nand,1.3.6,vnish-s19xp-plus-hydro-xil-nand-v1.3.6.tar.gz,47838a6cf2f2f8d3aa2704b1438df28e13b54ac2c263cd741714e35b64d790eb,16172339
s19xp-xil-nand,s19xp,Antminer S19 XP,XIL,xil,nand,1.3.6,vnish-s19xp-xil-nand-v1.3.6.tar.gz,3fc5ca522b40a0efdec5441776574c38dbbe17efd6702d88cb2ff69dd72e5dbc,16192938
s21-aml-nand,s21,Antminer S21,AML,aml,nand,1.3.6,vnish-s21-aml-nand-v1.3.6.tar.gz,8679f6540f8b9f3cfe3f747d6d44399f8b277c7abaccc6efc99c3cdd52e15a2f,21565527
s21-hydro-xil-nand,s21-hydro,Antminer S21 Hydro,XIL,xil,nand,1.3.6,vnish-s21-hydro-xil-nand-v1.3.6.tar.gz,090667373b519eb236ea0f27f1930d3b9fe29f89e514b7bb4596181105bd2c11,16193126
s21-imm-aml-nand,s21-imm,Antminer S21 Imm,AML,aml,nand,1.3.6,vnish-s21-imm-aml-nand-v1.3.6.tar.gz,9f870d447b63baf9881f324987b4cff4a0e617bfd0c57f8ac2ae944dbb4ea827,21541011
s21e-hydro-aml-nand,s21e-hydro,Antminer S21e Hydro,AML,aml,nand,1.3.6,vnish-s21e-hydro-aml-nand-v1.3.6.tar.gz,783ce12bf564d0b15bb8bd36862e24b6a1d6bd9aaa392d6c958c3ad371662baa,21547886
s21e-hydro-xil-nand,s21e-hydro,Antminer S21e Hydro,XIL,xil,nand,1.3.6,vnish-s21e-hydro-xil-nand-v1.3.6.tar.gz,f547e90d98bf6e1d4a608054edd768014c1e11c854deb83022aeb19df387fa8a,16197304
s21e-xp-hydro-xil-nand,s21e-xp-hydro,Antminer S21e XP Hydro,XIL,xil,nand,1.3.6,vnish-s21e-xp-hydro-xil-nand-v1.3.6.tar.gz,2b1c0b11bccddf95c39a54ce1852f4dc7a3e5b8ef1ffca34c575ae8718f3b313,16168780
s21plus-aml-nand,s21plus,Antminer S21+,AML,aml,nand,1.3.6,vnish-s21plus-aml-nand-v1.3.6.tar.gz,095427ffde46c2d30391a2d161d107bca6550a5fd876a6315df6737588b6c717,21566634
s21plus-hydro-cv-nand,s21plus-hydro,Antminer S21+ Hydro,CV,cv,nand,1.3.6,vnish-s21plus-hydro-cv-nand-v1.3.6.tar.gz,3afda487248d00170ecfc45dd021897c2509b9a4e507683c1e9446fa9ab7cfda,12466991
s21plus-hydro-xil-nand,s21plus-hydro,Antminer S21+ Hydro,XIL,xil,nand,1.3.6,vnish-s21plus-hydro-xil-nand-v1.3.6.tar.gz,7d19576e0c2a68ba864c70f1e146f90e327d9a88280425eae45d1e9af68fb416,16179508
s21plus-plus-aml-nand,s21plus-plus,Antminer S21++,AML,aml,nand,1.3.6,vnish-s21plus-plus-aml-nand-v1.3.6.tar.gz,9e9013c474284c8f237075d57666d0326984e53b03310cfbb621a5d26471a6e1,21542900
s21pro-aml-nand,s21pro,Antminer S21 Pro,AML,aml,nand,1.3.6,vnish-s21pro-aml-nand-v1.3.6.tar.gz,6bbd6c87358a0f9ead780f41073ce4e74ae5e548aac3e14e2db131452d8e1098,21566387
s21pro-plus-aml-nand,s21pro-plus,Antminer S21 Pro+,AML,aml,nand,1.3.6,vnish-s21pro-plus-aml-nand-v1.3.6.tar.gz,a668644ecf3f0283745a65aae8035af446d864149679eff6d60e235109ad488d,21562903
s21xp-aml-nand,s21xp,Antminer S21 XP,AML,aml,nand,1.3.6,vnish-s21xp-aml-nand-v1.3.6.tar.gz,15a63b2fe0cf1e1d4d39d77002c796ced2a14568481e7e61b5404ff0ee02d313,21567276
s21xp-hydro-xil-nand,s21xp-hydro,Antminer S21 XP Hydro,XIL,xil,nand,1.3.6,vnish-s21xp-hydro-xil-nand-v1.3.6.tar.gz,cd2dfa4b61ea08a7662d472c2e78dbf64afff4b49f2817718030fcb5489a15ef,16180089
s21xp-imm-aml-nand,s21xp-imm,Antminer S21 XP Imm,AML,aml,nand,1.3.6,vnish-s21xp-imm-aml-nand-v1.3.6.tar.gz,7972546d0f009771ae5ef430efbe0caad2d26b5055ef19e6b62dbf1bd3c95e2d,21571208
t19-hydro-xil-nand,t19-hydro,Antminer T19 Hydro,XIL,xil,nand,1.3.6,vnish-t19-hydro-xil-nand-v1.3.6.tar.gz,94eace28d6fbb722b6a944b21cdebdf8f15fcebab14e7f5ab2059b3ed54ee797,16198894
t19-xil-nand,t19,Antminer T19,XIL,xil,nand,1.3.6,vnish-t19-xil-nand-v1.3.6.tar.gz,912e5f97ebedf318618c43b0256ceabe66df7ed4da5911c21f9ca6b06d60a447,16175587
t19pro-hydro-xil-nand,t19pro-hydro,Antminer T19 Pro Hydro,XIL,xil,nand,1.3.6,vnish-t19pro-hydro-xil-nand-v1.3.6.tar.gz,f4dccedb66eed5fb4a642c8af40c24a922a2244563d068b8792f11087455bbd6,16175139
t21-aml-nand,t21,Antminer T21,AML,aml,nand,1.3.6,vnish-t21-aml-nand-v1.3.6.tar.gz,447f8889958e97b17a48872c6c5b1ab666913076e072c48b58578f6d016bea5c,21571366
t21-cv-nand,t21,Antminer T21,CV,cv,nand,1.3.6,vnish-t21-cv-nand-v1.3.6.tar.gz,4ae79f15cb3ad4438bdf412abc7531bc31c0c4130d20afaaa047ec99023077e8,12465843
t21-xil-nand,t21,Antminer T21,XIL,xil,nand,1.3.6,vnish-t21-xil-nand-v1.3.6.tar.gz,7eb66da100dc4b7aaf26d5eb06c773647c2c4e866f3a88a8aef1b9e893c2b744,16194615
u2l9h-aml-nand,u2l9h,Antminer U2L9H,AML,aml,nand,1.3.6,vnish-u2l9h-aml-nand-v1.3.6.tar.gz,9770e6762b5af26a77c5f9f2386b56c14fbc31e5bbdd6aa7711a5d96c872bf7f,21546324
u3s19xph-cv-nand,u3s19xph,Antminer U3S19XP+H,CV,cv,nand,1.3.6,vnish-u3s19xph-cv-nand-v1.3.6.tar.gz,1c2b044217bb5cef85a08a50683331f2d2e8a4dbdda19307d8d608573df4c181,12494411
u3s21exph-xil-nand,u3s21exph,Antminer U3S21EXPH,XIL,xil,nand,1.3.6,vnish-u3s21exph-xil-nand-v1.3.6.tar.gz,c2f9d826d6806d174bcb3b673d05a3db7ec2148d8ac86e6c26ca99c628acd9f8,16180937
