route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
s19pro-hydro-xil-nand,s19pro-hydro,Antminer S19 Pro Hydro,XIL,xil,nand,1.3.5,vnish-s19pro-hydro-xil-nand-v1.3.5.tar.gz,dfcc1ce7cc5a7f9b3a188ff3352123a05745e547a8e9367d8907a3bad394eccb,16197859
s19pro-plus-hydro-xil-nand,s19pro-plus-hydro,Antminer S19 Pro+ Hydro,XIL,xil,nand,1.3.5,vnish-s19pro-plus-hydro-xil-nand-v1.3.5.tar.gz,89ff5c7e2a5e35a35f5350cae6008b23e77364cf1c7da443ea3c3be777bedd14,16204564
s19pro-xil-nand,s19pro,Antminer S19 Pro,XIL,xil,nand,1.3.5,vnish-s19pro-xil-nand-v1.3.5.tar.gz,10c54fa93b1856c3034d68faaf2c14a1b5a9182c70db92c8ffe147b36d5fab4b,16202388
s19xp-aml-nand,s19xp,Antminer S19 XP,AML,aml,nand,1.3.5,vnish-s19xp-aml-nand-v1.3.5.tar.gz,eab00a9f6cccda6c35598244a326833958928c9ccf25c45d1d261e261da88656,21566147
s19xp-cv-nand,s19xp,Antminer S19 XP,CV,cv,nand,1.3.5,vnish-s19xp-cv-nand-v1.3.5.tar.gz,68e550414b10a1e3c00dc59d06c7bb0c43d5a524d33c70bd3290755444578ace,12397672
s19xp-hydro-xil-nand,s19xp-hydro,Antminer S19 XP Hydro,XIL,xil,nand,1.3.5,vnish-s19xp-hydro-xil-nand-v1.3.5.tar.gz,10768a6b207debc0f85297b00063dca1fcb3fb5cab435de8c9bb8c3bfbe07353,16178821
s19xp-plus-aml-nand,s19xp-plus,Antminer S19 XP+,AML,aml,nand,1.3.5,vnish-s19xp-plus-aml-nand-v1.3.5.tar.gz,cf789bbf2061d66f9c5d5f87c534c209d4dce46fcb276a112927449dfdbbd75d,21549844
s19xp-plus-hydro-xil-nand,s19xp-plus-hydro,Antminer S19 XP+ Hydro,XIL,xil,nand,1.3.5,vnish-s19xp-plus-hydro-xil-nand-v1.3.5.tar.gz,6b96d858a5d8c3db4c1121c06b980482cded8aa5d14eda3723a2925a9030cbf8,16175156
s19xp-xil-nand,s19xp,Antminer S19 XP,XIL,xil,nand,1.3.5,vnish-s19xp-xil-nand-v1.3.5.tar.gz,ae0cf9be1d4f9792f2a158f29146bda224fdfc36a5ae9c37837e218a29a4bdfe,16194287
s21-aml-nand,s21,Antminer S21,AML,aml,nand,1.3.5,vnish-s21-aml-nand-v1.3.5.tar.gz,da3d6312be551aeb8af90812dd41567cbaa3b87eb957dc7273414b9efbc1b6d9,21541929
s21-hydro-xil-nand,s21-hydro,Antminer S21 Hydro,XIL,xil,nand,1.3.5,vnish-s21-hydro-xil-nand-v1.3.5.tar.gz,a1b84f29104d4bb7b87053cec19cea2a85031a119b4cb0798436845d1ef6fe13,16183541
s21-imm-aml-nand,s21-imm,Antminer S21 Imm,AML,aml,nand,1.3.5,vnish-s21-imm-aml-nand-v1.3.5.tar.gz,d0a57caff9c7adf022f0e9047306d81d229c4978ec9b5c757784c17a68b4fc6e,21574860
s21e-hydro-aml-nand,s21e-hydro,Antminer S21e Hydro,AML,aml,nand,1.3.5,vnish-s21e-hydro-aml-nand-v1.3.5.tar.gz,b2d6f069f5420b160115c894cf399e7f69baa273f660c8592afe4ac35a79369f,21542470
s21e-hydro-xil-nand,s21e-hydro,Antminer S21e Hydro,XIL,xil,nand,1.3.5,vnish-s21e-hydro-xil-nand-v1.3.5.tar.gz,4d72def8d726b889f365ff03f2f38409b8701908ad85bb2e7ff68352b23426e2,16172365
s21e-xp-hydro-xil-nand,s21e-xp-hydro,Antminer S21e XP Hydro,XIL,xil,nand,1.3.5,vnish-s21e-xp-hydro-xil-nand-v1.3.5.tar.gz,ea73fdf847c67ee03b090af518e9d11b1ed81d005a21038793f013f06dae274b,16178516
s21plus-aml-nand,s21plus,Antminer S21+,AML,aml,nand,1.3.5,vnish-s21plus-aml-nand-v1.3.5.tar.gz,6552b1cfb2c5297e75a36f00d945e601d58aff3408ab873c2992e1873b320a26,21570052
s21plus-hydro-cv-nand,s21plus-hydro,Antminer S21+ Hydro,CV,cv,nand,1.3.5,vnish-s21plus-hydro-cv-nand-v1.3.5.tar.gz,1b241e96879646b75cb7338743f1b19f9c2b625b0f7693714dd7dabfcc5e273c,12394556
