build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s19a-xil-nand-v1.3.6,s19a,Antminer S19a,Bitmain,x19,XIL,nand,s19a-xil-nand,1.3.6,stable,vnish-s19a-xil-nand-v1.3.6.tar.gz,16176081,edc7492d29b51fc667b5cad5c1d84785d0c99ecc7b726a8312ce55451d2d03ff
s19apro-xil-nand-v1.3.4,s19apro,Antminer S19A Pro,Bitmain,x19,XIL,nand,s19apro-xil-nand,1.3.4,stable,vnish-s19apro-xil-nand-v1.3.4.tar.gz,16167562,a80dffb1a9d2cb076083fe1bf89a83e9fe46b1d14cae73c49baa0bc4f234d0f2
s19apro-xil-nand-v1.3.5,s19apro,Antminer S19A Pro,Bitmain,x19,XIL,nand,s19apro-xil-nand,1.3.5,stable,vnish-s19apro-xil-nand-v1.3.5.tar.gz,16203601,7e52784408017e661cee1d25b8989d513e1a909d18ab8d0b17d83beb1c009f18
s19apro-xil-nand-v1.3.6,s19apro,Antminer S19A Pro,Bitmain,x19,XIL,nand,s19apro-xil-nand,1.3.6,stable,vnish-s19apro-xil-nand-v1.3.6.tar.gz,16178188,ce124a655954f9f69ee1b7edafbfe0ea102451782a452d1be28c97108a9c4d2c
s19e-xp-hydro-xil-nand-v1.3.4,s19e-xp-hydro,Antminer S19e XP Hydro,Bitmain,x19,XIL,nand,s19e-xp-hydro-xil-nand,1.3.4,stable,vnish-s19e-xp-hydro-xil-nand-v1.3.4.tar.gz,16165832,7601944d5587622612fb2e1f64f7c6e7bdd9ebde5f63a8012b3ddba9471a1be7
s19e-xp-hydro-xil-nand-v1.3.5,s19e-xp-hydro,Antminer S19e XP Hydro,Bitmain,x19,XIL,nand,s19e-xp-hydro-xil-nand,1.3.5,stable,vnish-s19e-xp-hydro-xil-nand-v1.3.5.tar.gz,16177872,9d52eb763cb71794bccb6c47fbba2404a6ed44165fab015b3a706afa9af8b06a
s19e-xp-hydro-xil-nand-v1.3.6,s19e-xp-hydro,Antminer S19e XP Hydro,Bitmain,x19,XIL,nand,s19e-xp-hydro-xil-nand,1.3.6,stable,vnish-s19e-xp-hydro-xil-nand-v1.3.6.tar.gz,16168594,2115a8cdd83f35f9e5b87053249de310d90aa2a346044863469d3266d5e82cf5
s19i-xil-nand-v1.3.4,s19i,Antminer S19i,Bitmain,x19,XIL,nand,s19i-xil-nand,1.3.4,stable,vnish-s19i-xil-nand-v1.3.4.tar.gz,16171409,30f6343baedddc3e934beb5a8261b505ac61a0e0fa300c67c8058f84c2dbaef9
s19i-xil-nand-v1.3.5,s19i,Antminer S19i,Bitmain,x19,XIL,nand,s19i-xil-nand,1.3.5,stable,vnish-s19i-xil-nand-v1.3.5.tar.gz,16173650,230578e081c774758f1b49dc72c7404b301089e88c18cdb5450284e298c0ed16
s19i-xil-nand-v1.3.6,s19i,Antminer S19i,Bitmain,x19,XIL,nand,s19i-xil-nand,1.3.6,stable,vnish-s19i-xil-nand-v1.3.6.tar.gz,16195863,0a080e0e911eca44cc3bf3589bfc4bfa75da88585542c455d7ff8821a7155c00
s19j-bb-nand-v1.3.4,s19j,Antminer S19j,Bitmain,x19,BB,nand,s19j-bb-nand,1.3.4,stable,vnish-s19j-bb-nand-v1.3.4.tar.gz,19253507,5f1ae16b9ea8c19f9f6addc0d019eff02dcb5aebbcdfb5124fa05f26702b10c8
s19j-cv-nand-v1.3.4,s19j,Antminer S19j,Bitmain,x19,CV,nand,s19j-cv-nand,1.3.4,stable,vnish-s19j-cv-nand-v1.3.4.tar.gz,12362614,ef4f6829b1e7510b606bdb3fc2c469e46998d2476195b42bb452557a381bf8d9
s19j-xil-nand-v1.3.4,s19j,Antminer S19j,Bitmain,x19,XIL,nand,s19j-xil-nand,1.3.4,stable,vnish-s19j-xil-nand-v1.3.4.tar.gz,16165218,20f15e964d2fe9baa3667752d17aa749d9c527cd2dcca6667463ea4944bcc43b
s19j-xil-nand-v1.3.5,s19j,Antminer S19j,Bitmain,x19,XIL,nand,s19j-xil-nand,1.3.5,stable,vnish-s19j-xil-nand-v1.3.5.tar.gz,16172709,7df27adc38bd2bc8c85d5ebab9dd67f95674394c7fbe4d9edd34cbcd5b217055
s19j-cv-nand-v1.3.5,s19j,Antminer S19j,Bitmain,x19,CV,nand,s19j-cv-nand,1.3.5,stable,vnish-s19j-cv-nand-v1.3.5.tar.gz,12367100,c115983f2e7fd0047f2b959d5fcedb2da86dfa086abd2c480373b67edb22b755
s19j-bb-nand-v1.3.5,s19j,Antminer S19j,Bitmain,x19,BB,nand,s19j-bb-nand,1.3.5,stable,vnish-s19j-bb-nand-v1.3.5.tar.gz,19250124,1a486fa4b31c42369e850d8804061eb78abe36523a0d105af141131d6cb600b3
s19j-bb-nand-v1.3.6,s19j,Antminer S19j,Bitmain,x19,BB,nand,s19j-bb-nand,1.3.6,stable,vnish-s19j-bb-nand-v1.3.6.tar.gz,19256521,f48505875dbacd69a118c530b9b40824be17e92ff20fc2175228e1aae71f46d4
s19j-cv-nand-v1.3.6,s19j,Antminer S19j,Bitmain,x19,CV,nand,s19j-cv-nand,1.3.6,stable,vnish-s19j-cv-nand-v1.3.6.tar.gz,12491685,2c591174d202088c929d74d968e6f127723316fb9146d352b6d423e257dabd57
